Campaign,Ad group,Keyword,Type
GOOG_Search_TC_BrandDefense_2026,,"""tutorial""",Campaign negative
GOOG_Search_TC_BrandDefense_2026,,[printer repair],Campaign negative
GOOG_Search_TC_BrandDefense_2026,,"""printer repair""",Campaign negative
GOOG_Search_TC_BrandDefense_2026,,[used printer],Campaign negative
GOOG_Search_TC_BrandDefense_2026,,"""used printer""",Campaign negative
GOOG_Search_TC_BrandDefense_2026,,[printer ink],Campaign negative
GOOG_Search_TC_BrandDefense_2026,,"""printer ink""",Campaign negative
GOOG_Search_TC_BrandDefense_2026,,[3d printing],Campaign negative
GOOG_Search_TC_BrandDefense_2026,,"""3d printing""",Campaign negative
GOOG_Search_TC_BrandDefense_2026,,[home printer],Campaign negative
GOOG_Search_TC_BrandDefense_2026,,"""home printer""",Campaign negative
GOOG_Search_TC_BrandDefense_2026,,[free],Campaign negative
GOOG_Search_TC_BrandDefense_2026,,"""free""",Campaign negative
GOOG_Search_TC_BrandDefense_2026,,[template],Campaign negative
GOOG_Search_TC_BrandDefense_2026,,"""template""",Campaign negative
GOOG_Search_TC_BrandDefense_2026,,[diy],Campaign negative
GOOG_Search_TC_BrandDefense_2026,,"""diy""",Campaign negative
GOOG_Search_TC_BrandDefense_2026,,[how to],Campaign negative
GOOG_Search_TC_BrandDefense_2026,,"""how to""",Campaign negative
GOOG_Search_TC_BrandDefense_2026,,[canva],Campaign negative
GOOG_Search_TC_BrandDefense_2026,,"""canva""",Campaign negative
GOOG_Search_TC_BrandDefense_2026,,[download],Campaign negative
GOOG_Search_TC_BrandDefense_2026,,"""download""",Campaign negative
GOOG_Search_TC_BrandDefense_2026,,[printable],Campaign negative
GOOG_Search_TC_BrandDefense_2026,,"""printable""",Campaign negative
GOOG_Search_TC_BrandDefense_2026,,[machine],Campaign negative
GOOG_Search_TC_BrandDefense_2026,,"""machine""",Campaign negative
GOOG_Search_TC_BrandDefense_2026,,[equipment],Campaign negative
GOOG_Search_TC_BrandDefense_2026,,"""equipment""",Campaign negative
GOOG_Search_TC_BrandDefense_2026,,[supplies],Campaign negative
GOOG_Search_TC_BrandDefense_2026,,"""supplies""",Campaign negative
