Asset,Asset type,Price type,Qualifier,Language,Header,Description,Price,Currency,Final URL
TC PPC Price - Core Products,Price,SERVICES,FROM,en,Coroplast Signs,4mm coroplast from $25,25,CAD,https://truecolorprinting.ca/products/coroplast-signs
TC PPC Price - Core Products,Price,SERVICES,FROM,en,Business Cards,"250 cards, 14pt gloss",45,CAD,https://truecolorprinting.ca/products/business-cards
TC PPC Price - Core Products,Price,SERVICES,FROM,en,Vinyl Banners,"2x4ft, 13oz scrim",66,CAD,https://truecolorprinting.ca/products/vinyl-banners
TC PPC Price - Core Products,Price,SERVICES,FROM,en,Retractable Banners,"Stand and print, $219",219,CAD,https://truecolorprinting.ca/products/retractable-banners
TC PPC Price - Core Products,Price,SERVICES,FROM,en,Custom Stickers,"25 die-cut vinyl, $25",25,CAD,https://truecolorprinting.ca/products/stickers
TC PPC Price - Core Products,Price,SERVICES,FROM,en,Photo Posters,Matte poster from $15,15,CAD,https://truecolorprinting.ca/photo-poster-printing-saskatoon
TC PPC Price - Core Products,Price,SERVICES,FROM,en,Custom Flyers,"100 flyers, 80lb gloss",45,CAD,https://truecolorprinting.ca/products/flyers
TC PPC Price - Core Products,Price,SERVICES,FROM,en,Boat Numbers,3-inch pair from $39,39,CAD,https://truecolorprinting.ca/boat-registration-numbers
