Campaign,Ad group,Keyword,Type,Status,Final URL
GOOG_Search_TC_CoreProducts_2026,Coroplast Signs,[coroplast signs saskatoon],Exact,ENABLED,https://truecolorprinting.ca/products/coroplast-signs
GOOG_Search_TC_CoreProducts_2026,Coroplast Signs,"""coroplast signs saskatoon""",Phrase,ENABLED,https://truecolorprinting.ca/products/coroplast-signs
GOOG_Search_TC_CoreProducts_2026,Coroplast Signs,[coroplast signs],Exact,ENABLED,https://truecolorprinting.ca/products/coroplast-signs
GOOG_Search_TC_CoreProducts_2026,Coroplast Signs,"""coroplast signs""",Phrase,ENABLED,https://truecolorprinting.ca/products/coroplast-signs
GOOG_Search_TC_CoreProducts_2026,Coroplast Signs,[coroplast sign printing],Exact,ENABLED,https://truecolorprinting.ca/products/coroplast-signs
GOOG_Search_TC_CoreProducts_2026,Coroplast Signs,"""coroplast sign printing""",Phrase,ENABLED,https://truecolorprinting.ca/products/coroplast-signs
GOOG_Search_TC_CoreProducts_2026,Coroplast Signs,[coroplast printing],Exact,ENABLED,https://truecolorprinting.ca/products/coroplast-signs
GOOG_Search_TC_CoreProducts_2026,Coroplast Signs,"""coroplast printing""",Phrase,ENABLED,https://truecolorprinting.ca/products/coroplast-signs
GOOG_Search_TC_CoreProducts_2026,Stickers and Labels,[custom stickers saskatoon],Exact,ENABLED,https://truecolorprinting.ca/products/stickers
GOOG_Search_TC_CoreProducts_2026,Stickers and Labels,"""custom stickers saskatoon""",Phrase,ENABLED,https://truecolorprinting.ca/products/stickers
GOOG_Search_TC_CoreProducts_2026,Stickers and Labels,[sticker printing saskatoon],Exact,ENABLED,https://truecolorprinting.ca/products/stickers
GOOG_Search_TC_CoreProducts_2026,Stickers and Labels,"""sticker printing saskatoon""",Phrase,ENABLED,https://truecolorprinting.ca/products/stickers
GOOG_Search_TC_CoreProducts_2026,Stickers and Labels,[custom labels saskatoon],Exact,ENABLED,https://truecolorprinting.ca/products/stickers
GOOG_Search_TC_CoreProducts_2026,Stickers and Labels,"""custom labels saskatoon""",Phrase,ENABLED,https://truecolorprinting.ca/products/stickers
GOOG_Search_TC_CoreProducts_2026,Stickers and Labels,[sticker printing],Exact,ENABLED,https://truecolorprinting.ca/products/stickers
GOOG_Search_TC_CoreProducts_2026,Stickers and Labels,"""sticker printing""",Phrase,ENABLED,https://truecolorprinting.ca/products/stickers
GOOG_Search_TC_CoreProducts_2026,Stickers and Labels,[die cut stickers near me],Exact,ENABLED,https://truecolorprinting.ca/products/stickers
GOOG_Search_TC_CoreProducts_2026,Stickers and Labels,"""die cut stickers near me""",Phrase,ENABLED,https://truecolorprinting.ca/products/stickers
GOOG_Search_TC_CoreProducts_2026,Stickers and Labels,[custom die cut stickers near me],Exact,ENABLED,https://truecolorprinting.ca/products/stickers
GOOG_Search_TC_CoreProducts_2026,Stickers and Labels,"""custom die cut stickers near me""",Phrase,ENABLED,https://truecolorprinting.ca/products/stickers
GOOG_Search_TC_CoreProducts_2026,Stickers and Labels,[custom stickers near me],Exact,ENABLED,https://truecolorprinting.ca/products/stickers
GOOG_Search_TC_CoreProducts_2026,Stickers and Labels,"""custom stickers near me""",Phrase,ENABLED,https://truecolorprinting.ca/products/stickers
GOOG_Search_TC_CoreProducts_2026,Stickers and Labels,[custom labels near me],Exact,ENABLED,https://truecolorprinting.ca/products/stickers
GOOG_Search_TC_CoreProducts_2026,Stickers and Labels,"""custom labels near me""",Phrase,ENABLED,https://truecolorprinting.ca/products/stickers
GOOG_Search_TC_CoreProducts_2026,Stickers and Labels,[die cut labels near me],Exact,ENABLED,https://truecolorprinting.ca/products/stickers
GOOG_Search_TC_CoreProducts_2026,Stickers and Labels,"""die cut labels near me""",Phrase,ENABLED,https://truecolorprinting.ca/products/stickers
GOOG_Search_TC_CoreProducts_2026,Stickers and Labels,[custom die cut labels near me],Exact,ENABLED,https://truecolorprinting.ca/products/stickers
GOOG_Search_TC_CoreProducts_2026,Stickers and Labels,"""custom die cut labels near me""",Phrase,ENABLED,https://truecolorprinting.ca/products/stickers
